820.72,-932.35,26.31
440.16,-975.15,30.53
440.17,-975.15,30.53
452.97,-980.0,30.69
442.18,-991.45,31.03
450.08,-986.76,31.02
447.88,-980.07,30.78
447.88,-980.04,30.79
2834.77,2806.82,57.73
2834.81,2806.85,58.12
2834.77,2806.81,57.69
2833.86,2808.6,57.75
-1377.93,4293.42,4.07
462.11,-651.19,27.05
310.56,678.45,172.05
-1195.42,-892.93,13.98
-1193.39,-893.57,14.01
-1191.47,-894.09,14.03
-1197.45,-892.46,13.99
-50.93,-1094.92,26.28
-50.8,-1087.73,26.28
-52.72,-1101.75,26.79
-54.17,-1088.3,26.28
-51.3,-1094.91,26.28
-51.77,-1095.32,27.61
-48.91,-1092.1,26.31
-51.63,-1094.94,26.28
-42.57,-1089.48,26.9
2001.07,5112.39,43.4
2005.27,5106.96,43.39
-49.95,-1096.19,26.28
-51.18,-1094.93,27.56
-51.67,-1095.09,27.49
-47.05,-1095.53,27.57
-51.72,-1095.07,26.28
-52.22,-1095.4,26.3
-52.52,-1095.55,26.31
-47.07,-1094.69,26.31
-39.47,-1094.05,26.31
-39.97,-1100.62,26.31
-50.68,-1086.14,26.31
264.78,220.24,101.99
2436.05,4773.97,34.65
2435.92,4774.07,33.52
2431.63,4768.36,33.36
2436.77,4774.58,34.63
2436.03,4773.94,34.66
1472.04,-833.93,119.82
1373.41,-153.29,144.98
1622.01,455.12,257.37
969.17,1640.02,208.16
-2767.96,-89.59,5.69
-1696.61,-317.83,62.22
1997.16,3342.35,50.23
814.8,1045.99,286.37
817.91,1045.58,286.59
1525.86,-645.93,145.84
1471.92,-824.46,119.89
1530.68,-645.31,138.56
1373.04,-151.87,144.79
1407.34,-25.72,120.87
1357.61,-26.57,123.9
1615.74,453.23,257.53
1615.83,453.17,257.46
1613.47,454.53,257.41
1616.55,457.72,257.42
1710.27,378.15,246.41
1612.71,449.43,257.05
1614.4,451.57,257.05
1616.32,450.47,257.05
815.53,1043.61,283.72
815.53,1047.62,283.68
817.99,1048.22,283.71
814.89,1045.88,286.37
815.64,1048.92,286.37
815.6,1049.0,286.37
818.3,1049.0,286.37
814.85,1046.1,289.29
816.32,1046.02,289.29
817.75,1045.99,289.29
969.23,1633.86,207.83
969.23,1637.83,207.82
965.37,1635.95,207.83
959.47,1570.11,214.44
962.6,1569.87,214.45
969.28,1633.91,207.88
969.11,1637.8,207.79
939.25,1583.55,228.99
941.62,1584.1,228.92
-2762.27,-91.51,5.65
-2765.17,-89.49,5.65
-2768.01,-89.73,5.61
-2762.39,-93.53,10.24
-2762.98,-90.52,10.22
-2767.18,-89.52,9.98
-2770.0,-89.77,9.98
-1715.05,-314.7,55.42
-1712.38,-317.29,55.26
-1712.37,-317.25,55.26
-1696.66,-317.78,62.24
-1697.04,-320.64,62.22
-1699.02,-322.96,62.28
-1700.39,-317.15,62.23
-1702.43,-316.92,62.21
-1704.92,-319.29,62.26
1952.47,3355.36,53.65
1950.89,3358.43,53.67
1947.16,3358.43,53.67
1999.71,3342.59,50.14
1996.82,3344.1,50.13
1999.97,3342.82,53.2
1999.97,3344.72,53.2
955.11,-118.9,75.06
955.74,-119.64,75.07
954.39,-118.14,75.08
1003.04,-128.38,74.12
988.88,-138.06,74.23
977.35,-104.39,74.86
-1868.49,2065.38,135.53
-1858.76,2061.28,135.26
-1870.85,2060.03,135.54
-1870.85,2063.6,135.51
-1865.98,2061.16,135.52
-1865.97,2064.35,135.54
-2671.56,1333.0,144.34
-2680.1,1327.0,144.07
-2679.31,1332.63,140.98
-2679.35,1330.25,140.99
-1526.61,127.98,50.21
-1515.74,108.54,52.45
-1520.07,130.82,50.15
-1516.56,127.65,50.11
-1516.68,127.55,50.13
-1520.05,130.8,50.13
-891.46,-1445.22,7.78
-893.11,-1441.39,7.67
-898.02,-1443.15,7.67
-903.98,-1445.14,7.66
-906.93,-1446.99,7.5
-905.96,-1449.7,7.63
-889.41,-1467.83,7.55
-886.25,-1462.46,7.57
-884.9,-1465.89,7.55
-886.2,-1462.44,7.57
-884.9,-1465.86,7.51
-893.78,-1469.52,7.55
-898.99,-1468.85,7.52
-895.19,-1441.93,7.71
-1386.15,-598.87,30.33
-1385.25,-600.31,30.27
-1386.84,-601.48,30.1
-1387.89,-599.86,30.1
-1387.92,-597.83,30.34
-1370.38,-621.13,31.01
94.11,-1288.3,29.06
90.84,-1288.09,29.06
93.03,-1292.88,29.08
90.84,-1294.05,29.06
103.9,-1313.92,29.05
101.01,-1315.71,29.05
92.58,-1287.39,29.44
1395.16,-877.42,108.83
1528.94,-84.86,161.59
1627.63,460.42,256.68
875.31,1036.46,283.63
937.88,1582.25,228.86
-2943.32,-42.31,24.94
-1725.22,-228.84,61.8
2052.16,3399.24,48.25
2052.23,3399.26,48.4
-1876.81,2060.82,145.33
-1876.53,2060.96,145.29
-2676.7,1309.98,151.93
-1497.82,123.05,55.58
-880.86,-1465.28,7.64
-1398.57,-619.02,34.07
100.14,-1304.37,29.35
-1065.49,-56.58,44.78
-1058.99,-70.3,43.47
